slug	class	index	cites_deleted
pack-test-suite-runtime	D	dropped	yes
pack-tests-have-no-auto-discovery	B	dropped	no
param-expansion-on-star-strips-per-element	A	loaded	yes
pgrep-f-matches-your-own-shell	A	dropped	no
pipefail-truncates-shell-test-harness	B	dropped	no
polecat-claim-displaced-under-contention	B	loaded	no
polecat-done-sequence-hardcodes-target-main	B	loaded	no
polecat-duplicate-of-in-flight-peer-hold-and-drain-molecule	B	loaded	no
polecat-fold-refinement-into-mr-pr	B	loaded	no
pool-demand-probe-store-is-not-work-dir	B	loaded	no
pr-body-placeholder-never-rerendered	B	dropped	no
pr-object-lags-the-git-ref-after-force-push	A	loaded	no
prechange-regression-count-truncated-by-pipefail	C	dropped	no
precommit-hook-folds-artifact-into-amended-commit	B	loaded	no
precommit-hook-hookspath-renders-seed-audit	B	dropped	no
preexisting-failure-dedup-matches-wrong-bead	B	dropped	no
prefer-remedies-in-code-over-instructions	C	loaded	no
preopen-anchor-reoffer-release-status-only	B	dropped	no
preopen-handback-machinery-dispatches-the-regate	B	dropped	yes
proactive-advance-and-drain-side-effects-may-already-be-done	B	dropped	no
process-rules-belong-in-config-not-memory	C	loaded	no
prove-a-pack-change-with-a-synthetic-city	C	loaded	no
prove-a-rework-fixture-against-the-old-script-in-a-parallel-tree	C	loaded	no
prove-an-automerge-kept-both-sides-tests-additively	C	dropped	no
prove-the-happy-path-before-trusting-a-fallback-probe	C	loaded	no
re-derive-the-beads-cited-live-case	C	loaded	yes
rebase-bead-hides-a-live-operator-review	B	loaded	no
rebase-checkout-ours-discards-automerged-hunks	A	loaded	no
rebase-child-closes-while-original-anchor-stays-open	B	loaded	no
rebase-child-open-vetoes-the-next-rebase	B	dropped	no
rebase-do-not-repoint-operator-exception-marker	B	dropped	no
rebase-entangled-parallel-hardening	C	loaded	no
rebase-generated-tree-re-render-not-merge	B	loaded	no
rebase-inherits-new-lint-detectors	C	dropped	no
rebase-relocation-target-silently-keeps-pre-edit-text	A	dropped	no
rebase-stales-line-anchored-doc-citations	C	loaded	no
rebase-union-contract-invalidated-by-narrowing-base	C	loaded	yes
recovery-branch-salvage-on-redispatch	B	loaded	no
refinery-anchorless-open-pr-blindspot	B	loaded	yes
refinery-burst-drain-one-land-per-pass	B	loaded	yes
refinery-close-on-land-model	B	loaded	yes
refinery-close-on-merge-reconcile	B	loaded	yes
refinery-codex-review-dispatch-procedure	B	loaded	no
refinery-codex-verdict-comment-disambiguation	B	loaded	no
refinery-convergence-cap-arm	B	loaded	yes
refinery-convoy-child-merge-strategy	B	loaded	no
refinery-current-wisp-type-wisp-broken	B	loaded	no
refinery-duplicate-fix-bead-codex-loop	B	loaded	no
refinery-fix-bead-on-operator-closed-pr	B	loaded	no
refinery-fold-review-feedback-direct	B	loaded	no
refinery-formula-step-vs-script-ownership	B	loaded	yes
refinery-idle-driver-passes-vs-agent-escalation	B	loaded	yes
refinery-mayor-authorized-regate-past-cap	B	loaded	yes
refinery-merge-gate-human-approval	B	loaded	yes
refinery-orphan-scan-unrouted	B	loaded	yes
refinery-out-of-band-nondraft-pr-reconcile	B	loaded	no
refinery-parked-pr-bead-returns-as-supersede-regate	B	loaded	no
refinery-patrol-formula-is-shared-by-all-rigs	B	loaded	no
refinery-pr-review-loop	B	loaded	no
refinery-pre-open-codex-gate	B	loaded	yes
refinery-pre-open-regate-strand	B	loaded	yes
refinery-preopen-twin-signoff-acting-blindspot	B	dropped	yes
refinery-quiesce-split-update-claim-guard	A	loaded	yes
refinery-reconcile-order-owns-the-cadence	B	loaded	no
refinery-reopened-bead-stale-assignee-flash	B	loaded	no
refinery-request-restart-noop	B	loaded	no
refinery-rework-handback-one-anchor	B	loaded	no
refinery-rework-prepushed-predrafted	B	loaded	no
refinery-run-tests-noop-codex-gate	B	loaded	no
refinery-stacked-pr-no-rebase	B	loaded	yes
refinery-stale-base-diff-artifact	B	loaded	yes
refinery-stale-gate-self-heal-arm	B	loaded	yes
refinery-tier2-shortcircuit-orphans-wisps	B	unindexed	no
refinery-two-anchor-same-fix-dedup	B	loaded	yes
refinery-two-writers-from-a-rearmed-idle-driver	B	loaded	no
refinery-unset-merge-strategy-defaults-mr	B	loaded	yes
refinery-witness-nudge-false-positive	B	loaded	no
refinery-worktree-detached-head-is-merge-residue	B	loaded	no
rejection-resume-needs-force-push	B	loaded	yes
reoffer-loop-claim-the-unrouted-rootcause-bead	B	loaded	yes
repair-a-routed-bead-block-before-unblock	B	loaded	no
reply-to-and-resolve-pr-review-threads	C	dropped	no
research-bead-close-nothing-overrides-nonimpl-close	C	loaded	no
resolve-agent-address-from-agent-list-not-one-live-bead	C	loaded	no
resumed-polecat-work-already-submitted-no-rehandoff	B	loaded	yes
retire-a-component-sweep-by-concept-not-name	C	dropped	yes
rework-bead-may-relist-folded-sibling-work	B	loaded	no
rework-child-subsumes-a-peer-rebase-child	B	loaded	no
rework-held-pr-supersede-not-inplace	B	loaded	no
rework-resume-branch-held-by-predecessor-worktree	B	loaded	no
rework-worktree-may-hold-predecessor-uncommitted-work	B	loaded	no
rig-git-config-carries-wrong-signing-identity	D	loaded	no
run-formula-shell-blocks-under-bash-not-zsh	A	loaded	yes
scan-all-statuses-before-declaring-a-missing-release-verb	C	loaded	no
seed-audit-hook-stages-640kb-render	B	dropped	no
session-beads-not-bd-listable	B	loaded	no
session-to-agent-join-is-template-not-alias	B	loaded	no
set-u-latent-crash-var-from-later-arm	A	loaded	yes
shell-cwd-resets-to-agent-home-use-git-c	A	loaded	no
shell-script-review-gate	B	loaded	no
signoff-cited-lines-may-be-preexisting-on-main	C	loaded	no
skill-md-static-no-template	B	loaded	no
skill-scoping-imported-agents	B	loaded	no
sling-auto-convoy-opt-in	B	loaded	no
spec-rework-check-what-the-impl-bead-already-shipped	C	dropped	yes
spike-bead-pattern	C	loaded	no
step-bead-description-frozen-at-pour	B	loaded	no
step-close-already-closed-line-names-a-sibling-molecule	B	dropped	no
step-close-matches-stale-steps-from-earlier-molecules	B	dropped	no
submit-and-exit-resume-after-push-detached-head	B	loaded	no
supervisor-sessions-api-carries-template	B	dropped	no
survey-live-metadata-before-canonicalizing-a-key	C	loaded	no
takeaway-does-not-block-later-redispatch	B	dropped	no
test-fallback-path-inherits-ambient-city	C	loaded	no
tightening-a-probe-can-strand-its-quiet-path	C	loaded	no
tmux-popup-tests-false-fail-when-run-concurrently	D	dropped	no
toml-triple-quote-eats-shell-continuations	A	loaded	yes
tr-space-class-rejoins-a-split-stream	A	dropped	no
true-no-work-can-hide-blocked-routed-work	B	dropped	no
two-signoff-reviews-spawn-concurrent-rework-children	B	loaded	no
unquoted-heredoc-backticks-run-commands	A	loaded	no
verify-a-merge-without-moving-the-head	C	dropped	no
verify-cited-compensating-control-before-retiring-its-owner	C	dropped	yes
verify-concurrent-writer-before-restoring-bead-state	C	loaded	no
why-a-session-died-drain-reason-trail	B	loaded	no
wisp-bead-linkage-and-burn	B	loaded	no
witness-salvages-a-live-worktree-on-lease-expiry	B	loaded	no
work-outcome-enum-warn-only-gate	B	loaded	no
work-query-template-surface	B	loaded	no
zsh-colon-modifier-mangles-git-show-rev-path	A	loaded	no
zsh-glob-eats-unquoted-git-format-specifiers	A	loaded	no
zsh-special-int-params-collapse-comma-lists	A	loaded	no
